id,name,county,latitude,longitude,start_year,end_year,category,description,photos

1,Riley County 4-H Fair,Riley,39.1836,-96.5717,1950,2025,youth,"Annual county fair","fair1.jpg|fair2.jpg"

2,Crop Production Workshop,Saline,38.8403,-97.6114,1985,2025,crop,"Crop management workshop","workshop1.jpg|workshop2.jpg"

3,Livestock Demonstration,Butler,37.6872,-97.3301,1970,2025,livestock,"Regional livestock event","livestock1.jpg"

4,Farmers Market Initiative,Shawnee,39.0489,-95.6780,2005,2025,farmersmarket,"Local food systems project","market1.jpg"

5,Wildlife Habitat Day,Geary,39.0286,-96.8314,1990,2025,wildlife,"Habitat education event","wildlife1.jpg"

6,Agricultural Economics Seminar,Douglas,38.9717,-95.2353,1980,2025,ageconomics,"Extension economics seminar","econ1.jpg"

7,TEST LINE,Clay,37.6872,-95.2353,"",1999,youth,"TEST",
